Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
54.000,-46.313164,-52.470837,-54.183970,-46.601302,-48.098844,-54.295465,-47.732607,-49.832345,-47.466061,-46.688422,-46.809225,-69.030994,-56.841071,-59.755084,-58.213129,-45.980246,-47.917621,-54.654445,-55.601083,-48.416289,-47.188277,-55.121598,-61.332538,-58.746009,-53.908649,-57.334808,-49.092988,-61.350901,-52.051265,-45.692602,-50.327153,0,Fileset 1: TS pulse compressed wideband pings T1
54.500,-46.544923,-51.326997,-54.065497,-46.514546,-48.639199,-53.774443,-48.087922,-50.816936,-47.965486,-46.152448,-46.657850,-67.000561,-57.255654,-63.451057,-61.584620,-45.686610,-47.824212,-55.904091,-56.341046,-49.314719,-47.417460,-54.518905,-61.767409,-58.880872,-53.899202,-56.770287,-49.445180,-64.005590,-53.684722,-45.897679,-50.903057,0,Fileset 1: TS pulse compressed wideband pings T1
55.000,-46.836010,-50.260232,-53.846356,-46.507081,-49.268417,-53.279009,-48.460902,-52.052280,-48.491052,-45.661498,-46.593040,-66.625822,-57.875057,-68.832939,-66.215965,-45.532418,-47.836199,-57.315797,-57.130552,-50.530658,-47.723511,-54.038580,-62.432354,-58.486989,-53.905204,-56.264278,-49.945985,-66.007720,-55.553371,-46.202829,-51.640643,0,Fileset 1: TS pulse compressed wideband pings T1
55.500,-47.203061,-49.307614,-53.570988,-46.553927,-49.921261,-52.918334,-48.857184,-53.583352,-49.038701,-45.230210,-46.613461,-67.535492,-58.633854,-74.839903,-71.367074,-45.505099,-47.959157,-58.976894,-57.900802,-52.134266,-48.121809,-53.738619,-63.384726,-57.882006,-53.854966,-55.928710,-50.620842,-66.206566,-57.374780,-46.582176,-52.549092,0,Fileset 1: TS pulse compressed wideband pings T1
56.000,-47.627855,-48.466265,-53.264238,-46.604128,-50.480632,-52.708008,-49.255624,-55.451260,-49.593099,-44.850718,-46.684164,-69.571145,-59.387013,-71.210337,-69.723659,-45.556789,-48.174971,-60.963323,-58.540051,-54.193901,-48.602106,-53.608039,-64.584745,-57.325363,-53.635032,-55.775548,-51.454384,-64.965591,-58.504965,-46.979773,-53.611284,0,Fileset 1: TS pulse compressed wideband pings T1
56.500,-48.055366,-47.688877,-52.900098,-46.601454,-50.816566,-52.592357,-49.608549,-57.726800,-50.123069,-44.489736,-46.747819,-71.546770,-59.905480,-67.407937,-65.885967,-45.620328,-48.450803,-63.296920,-58.946598,-56.829243,-49.136540,-53.593027,-65.920884,-56.897139,-53.155842,-55.756470,-52.403909,-63.370435,-58.442951,-47.323925,-54.805020,0,Fileset 1: TS pulse compressed wideband pings T1
57.000,-48.508060,-47.006140,-52.502457,-46.604805,-50.929729,-52.576163,-49.956172,-60.667297,-50.677051,-44.201626,-46.848726,-69.525805,-60.037068,-65.513625,-63.381817,-45.736961,-48.858007,-65.935657,-59.165581,-60.456688,-49.801605,-53.727945,-67.291230,-56.677401,-52.498161,-55.908463,-53.528590,-61.975727,-57.608233,-47.645648,-56.228436,0,Fileset 1: TS pulse compressed wideband pings T1
57.500,-48.970172,-46.422385,-52.039044,-46.662288,-50.835138,-52.616719,-50.310755,-64.666802,-51.247307,-44.011723,-47.019438,-65.214639,-59.721705,-65.024611,-61.789926,-45.941814,-49.453941,-68.364565,-59.235296,-66.158601,-50.666205,-54.014435,-68.313096,-56.705402,-51.764494,-56.233736,-54.882454,-60.968080,-56.630554,-47.953218,-57.960616,0,Fileset 1: TS pulse compressed wideband pings T1
58.000,-49.389760,-45.922209,-51.452226,-46.790812,-50.546027,-52.635248,-50.654691,-70.330800,-51.766712,-43.911400,-47.274283,-61.496857,-59.076043,-65.844215,-60.580516,-46.249090,-50.271641,-69.564836,-59.125597,-79.340518,-51.790962,-54.383181,-68.248825,-56.995479,-51.023100,-56.632903,-56.507738,-60.430610,-55.778031,-48.217422,-59.941615,0,Fileset 1: TS pulse compressed wideband pings T1
58.500,-49.800010,-45.583318,-50.816970,-47.065436,-50.182205,-52.663154,-51.046824,-76.551897,-52.260031,-43.963969,-47.709401,-58.676597,-58.383001,-67.998947,-59.308158,-46.735657,-51.417677,-69.397690,-58.845075,-70.958926,-53.337954,-54.757656,-66.987302,-57.590823,-50.391158,-56.917394,-58.489840,-60.489172,-55.147951,-48.483913,-61.755021,0,Fileset 1: TS pulse compressed wideband pings T1
