Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
170.500,-63.512586,-55.700373,-64.947594,-52.692925,-68.535603,-52.906445,-59.575096,-75.859854,-67.544446,-55.822532,-62.878660,-66.393164,-55.089225,-63.185452,-55.579918,-58.797084,-60.867450,-56.310709,-58.366238,-67.357601,-83.112903,-58.578528,-52.657399,-53.291065,-59.374295,-46.772360,-74.773945,-49.377824,-57.633585,-52.575336,-53.918308,0,Fileset 1: TS pulse compressed wideband pings T2
171.000,-66.938141,-54.988086,-61.650767,-52.778494,-72.877227,-52.380050,-60.255938,-75.332266,-66.530521,-55.917193,-61.222470,-71.450761,-54.637963,-63.165175,-55.716472,-59.353057,-59.765807,-55.779845,-60.144610,-63.221912,-68.596130,-57.899982,-52.759691,-52.328786,-59.789052,-46.094549,-75.363895,-49.427025,-58.259390,-52.556211,-51.815582,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-75.366513,-54.763956,-59.290762,-53.111264,-84.792922,-51.935110,-61.272137,-72.815378,-66.890639,-56.386736,-59.970196,-80.977969,-54.122109,-63.902862,-55.839303,-59.779671,-58.772149,-55.401615,-61.834182,-60.498086,-62.308100,-56.942393,-52.985414,-51.679113,-60.997899,-45.467422,-69.370729,-49.760810,-59.469674,-52.412171,-50.209722,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-72.616129,-55.035555,-57.547247,-53.730505,-78.198556,-51.620868,-62.467609,-71.734850,-68.140678,-57.150398,-58.990992,-91.387777,-53.634078,-65.044404,-55.718568,-59.871730,-57.928624,-55.130977,-62.473088,-59.158803,-59.663989,-56.065358,-53.329849,-51.167594,-63.603665,-44.889472,-65.018930,-50.375321,-60.512141,-52.069858,-49.007370,0,Fileset 1: TS pulse compressed wideband pings T2
172.500,-65.009095,-55.812142,-56.337795,-54.653602,-70.784033,-51.440795,-63.620908,-72.356718,-69.803136,-58.052924,-58.303589,-84.582045,-53.249562,-65.766153,-55.462826,-59.644475,-57.290687,-54.966429,-61.442274,-58.989303,-58.666951,-55.488381,-53.807683,-50.661075,-68.698195,-44.382257,-62.088355,-51.164938,-60.481570,-51.548823,-48.042110,0,Fileset 1: TS pulse compressed wideband pings T2
173.000,-61.569540,-57.046439,-55.641752,-55.868353,-67.414626,-51.376416,-64.354162,-73.988330,-71.426711,-58.816553,-57.995613,-90.043982,-53.047959,-65.378273,-55.296380,-59.288736,-56.921042,-54.906626,-59.477184,-59.840399,-58.486540,-55.294168,-54.440290,-50.138464,-83.804136,-43.969584,-59.995461,-51.962623,-59.298625,-50.925677,-47.152416,0,Fileset 1: TS pulse compressed wideband pings T2
173.500,-59.832583,-58.511175,-55.430090,-57.249967,-65.647083,-51.422694,-64.452547,-74.750933,-73.220644,-59.035219,-58.136220,-81.090459,-53.094519,-64.121600,-55.369350,-59.011144,-56.822783,-54.936916,-57.570547,-61.518396,-58.471294,-55.484591,-55.238698,-49.669589,-70.470019,-43.662273,-58.164960,-52.623489,-57.715178,-50.305879,-46.266798,0,Fileset 1: TS pulse compressed wideband pings T2
174.000,-58.967701,-59.565250,-55.647951,-58.391944,-64.850368,-51.610472,-64.232608,-73.961061,-77.326294,-58.425754,-58.737158,-73.599388,-53.413806,-62.689949,-55.722991,-58.888406,-56.902860,-55.033763,-56.117109,-63.492128,-58.063082,-56.021788,-56.179575,-49.333473,-63.194319,-43.454689,-56.413465,-53.096544,-56.486413,-49.805278,-45.430000,0,Fileset 1: TS pulse compressed wideband pings T2
174.500,-58.568195,-59.370315,-56.211603,-58.751212,-64.784190,-51.998111,-64.130411,-73.975887,-88.612137,-57.162706,-59.736478,-69.084662,-53.971083,-61.524521,-56.244672,-58.850814,-56.975135,-55.166049,-55.133531,-64.401850,-57.145371,-56.855887,-57.161447,-49.157334,-58.744058,-43.331477,-55.064706,-53.369926,-56.121443,-49.542380,-44.752759,0,Fileset 1: TS pulse compressed wideband pings T2
175.000,-58.546485,-58.064040,-57.004351,-58.444126,-65.373593,-52.631840,-64.299210,-77.174497,-72.246176,-55.685391,-60.995167,-65.705071,-54.686746,-60.680092,-56.617415,-58.758793,-56.827362,-55.302368,-54.466509,-63.173964,-56.124794,-57.998897,-57.957046,-49.098739,-55.584266,-43.279835,-54.503339,-53.336559,-57.009779,-49.622120,-44.338470,0,Fileset 1: TS pulse compressed wideband pings T2
