Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Variable_index,Variable_name
Ping_index,328,329,330,331,332,333,335,336,337,338,339,340,341,343,344,345,
Ping_date,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,
Ping_time,16:42:45,16:42:46,16:42:46,16:42:46,16:42:46,16:42:46,16:42:47,16:42:47,16:42:47,16:42:47,16:42:48,16:42:48,16:42:48,16:42:48,16:42:49,16:42:49,
Ping_milliseconds,915.0,116.0,316.0,516.0,717.0,915.0,316.0,516.0,716.0,915.0,116.0,315.0,515.0,917.0,115.0,315.0,
Range,16.0022179200,15.9557673600,15.9209294400,15.8744788800,15.9906052800,15.8048030400,15.9557673600,15.7931904000,15.7119019200,15.6770640000,15.6190008000,15.6073881600,15.5377123200,15.4564238400,15.7351272000,15.4331985600,
Depth,15.9827504354,15.9428189658,15.9174502324,15.8733024197,15.9868812496,15.8042923156,15.9553115536,15.7922410294,15.7074957797,15.6693662545,15.6075858567,15.5944036916,15.5193321286,15.4364306089,15.7255416308,15.4138106173,
66.000,-29.983766,-37.783788,-34.944071,-38.629589,-47.359891,-35.654604,-41.023642,-41.451642,-36.884041,-40.758982,-44.864705,-49.071285,-41.754722,-44.008118,-51.342568,-53.737760,0,Fileset 1: TS pulse compressed wideband pings T1
66.500,-29.971850,-38.545655,-34.570746,-37.613120,-42.499566,-36.311546,-41.102533,-39.924970,-37.560841,-42.929842,-45.334566,-52.020532,-41.982538,-45.172495,-50.162133,-56.139346,0,Fileset 1: TS pulse compressed wideband pings T1
67.000,-29.966200,-39.200221,-34.383026,-37.025905,-40.188716,-37.029766,-41.889023,-40.226024,-38.608181,-44.526662,-44.401638,-54.144553,-42.217849,-46.965279,-48.904440,-59.605205,0,Fileset 1: TS pulse compressed wideband pings T1
67.500,-29.999316,-39.687016,-34.347675,-36.700365,-39.220344,-37.737217,-43.430353,-42.044377,-39.939165,-44.619728,-43.150375,-55.560497,-42.439656,-48.599923,-48.049434,-64.238881,0,Fileset 1: TS pulse compressed wideband pings T1
68.000,-30.109979,-39.921927,-34.455318,-36.503964,-39.234198,-38.455630,-45.923542,-45.453772,-41.409745,-43.547745,-42.438384,-55.143490,-42.623542,-48.145798,-47.731839,-68.067469,0,Fileset 1: TS pulse compressed wideband pings T1
68.500,-30.342131,-39.872827,-34.730273,-36.343386,-40.159564,-39.297349,-49.938902,-47.642650,-42.757269,-42.276734,-42.635314,-51.298600,-42.767570,-45.627984,-48.097053,-63.011506,0,Fileset 1: TS pulse compressed wideband pings T1
69.000,-30.732846,-39.667552,-35.229629,-36.177524,-41.681114,-40.457699,-55.350580,-43.889818,-43.693711,-41.299199,-44.000440,-47.261612,-42.960294,-42.990532,-49.419829,-57.655855,0,Fileset 1: TS pulse compressed wideband pings T1
69.500,-31.272147,-39.587999,-36.040936,-36.049128,-41.889126,-42.167853,-52.989770,-40.981064,-44.316462,-40.715041,-45.723185,-44.485895,-43.393549,-41.019143,-52.129295,-54.129680,0,Fileset 1: TS pulse compressed wideband pings T1
70.000,-31.862238,-39.873089,-37.293699,-36.064396,-39.582064,-44.595689,-48.983621,-40.439518,-45.266466,-40.488055,-44.219908,-43.064194,-44.010745,-39.821354,-56.567964,-52.117580,0,Fileset 1: TS pulse compressed wideband pings T1
70.500,-32.371632,-40.516062,-39.174463,-36.281783,-37.064207,-47.811838,-46.985755,-42.121716,-47.334085,-40.658070,-41.272644,-42.570420,-44.003890,-39.251097,-59.712797,-51.126463,0,Fileset 1: TS pulse compressed wideband pings T1
71.000,-32.762906,-41.320843,-41.954453,-36.655683,-35.272026,-51.861245,-46.017785,-46.087540,-51.361784,-41.327397,-39.510362,-42.116468,-42.884768,-39.034516,-56.907804,-50.484191,0,Fileset 1: TS pulse compressed wideband pings T1
71.500,-33.109349,-42.148712,-46.158234,-37.105137,-34.129647,-55.823864,-45.478714,-53.491358,-56.132591,-42.541821,-38.937559,-41.186269,-41.443413,-38.925937,-54.255724,-49.819336,0,Fileset 1: TS pulse compressed wideband pings T1
72.000,-33.507726,-43.054601,-51.970815,-37.581671,-33.485809,-55.107528,-45.185716,-58.275991,-51.017820,-44.322679,-39.282310,-40.172411,-40.317685,-38.805915,-52.844545,-49.278191,0,Fileset 1: TS pulse compressed wideband pings T1
72.500,-34.020389,-44.258211,-49.791380,-38.081604,-33.248439,-51.533112,-45.197281,-51.092817,-45.960441,-46.573678,-40.346929,-39.592450,-39.658175,-38.666672,-52.311083,-49.193960,0,Fileset 1: TS pulse compressed wideband pings T1
73.000,-34.661449,-46.109276,-44.645796,-38.633275,-33.358982,-48.427952,-45.671254,-47.652873,-42.661256,-47.974473,-41.718470,-39.690542,-39.449189,-38.548397,-52.365036,-49.900403,0,Fileset 1: TS pulse compressed wideband pings T1
73.500,-35.392911,-49.204007,-41.390818,-39.268926,-33.737230,-45.931516,-46.787987,-45.660259,-40.413663,-46.106058,-42.264994,-40.495122,-39.606046,-38.489585,-52.705002,-51.844458,0,Fileset 1: TS pulse compressed wideband pings T1
74.000,-36.127027,-55.188185,-39.275746,-39.974356,-34.205105,-43.903792,-48.604800,-44.232701,-38.870097,-43.054651,-41.251436,-41.725829,-39.941084,-38.511452,-52.953596,-55.979171,0,Fileset 1: TS pulse compressed wideband pings T1
74.500,-36.758641,-73.802138,-37.838568,-40.644306,-34.438357,-42.303056,-50.339202,-43.201220,-37.767477,-40.910077,-39.826069,-42.673321,-40.180441,-38.635096,-52.850905,-64.654219,0,Fileset 1: TS pulse compressed wideband pings T1
75.000,-37.240689,-53.879185,-36.832077,-41.139388,-34.113131,-41.138931,-49.803126,-42.874573,-36.810840,-40.072873,-38.992869,-43.070683,-40.197086,-38.917785,-52.533419,-60.916390,0,Fileset 1: TS pulse compressed wideband pings T1
75.500,-37.648830,-47.943255,-36.156841,-41.458257,-33.245046,-40.423419,-47.712768,-43.798535,-35.770577,-40.642835,-38.980084,-43.884494,-40.208654,-39.471427,-52.404408,-56.494635,0,Fileset 1: TS pulse compressed wideband pings T1
76.000,-38.144096,-44.272440,-35.812694,-41.770727,-32.221146,-40.156999,-46.342429,-46.507490,-34.661502,-42.529879,-39.691438,-46.240206,-40.557113,-40.423320,-52.829416,-56.355034,0,Fileset 1: TS pulse compressed wideband pings T1
76.500,-38.851221,-41.707516,-35.803458,-42.254470,-31.449350,-40.317201,-46.365967,-50.059844,-33.690413,-44.052821,-40.803940,-51.120172,-41.425160,-41.838115,-53.992600,-59.803994,0,Fileset 1: TS pulse compressed wideband pings T1
77.000,-39.783712,-39.904317,-36.080820,-42.991237,-31.127961,-40.790912,-47.933138,-48.954366,-33.044558,-42.073363,-41.667239,-59.772975,-42.785833,-43.678383,-55.768673,-63.940910,0,Fileset 1: TS pulse compressed wideband pings T1
